Id,SalePrice
1461,129992.24
1462,160100.19
1463,184767.97
1464,190025.56
1465,205488.61
1466,180759.31
1467,178776.0
1468,162125.64
1469,179002.67
1470,124981.69
1471,189710.19
1472,94493.53
1473,100857.8
1474,145439.75
1475,116836.29
1476,357116.75
1477,260214.66
1478,280829.75
1479,264234.22
1480,399223.22
1481,316807.53
1482,208798.34
1483,170188.12
1484,165040.17
1485,182082.16
1486,200370.75
1487,353766.94
1488,232312.72
1489,217006.92
1490,251834.4
1491,187342.64
1492,91327.1
1493,195210.88
1494,302681.06
1495,286909.12
1496,241644.94
1497,177471.86
1498,162319.9
1499,160958.72
1500,156298.2
1501,171546.9
1502,148993.23
1503,315472.56
1504,239422.56
1505,232164.8
1506,180247.6
1507,262177.4
1508,195019.45
1509,165931.36
1510,150251.19
1511,143074.61
1512,177035.17
1513,148909.16
1514,161792.03
1515,213457.94
1516,150170.58
1517,168435.56
1518,129179.586
1519,226097.28
1520,135303.55
1521,137829.66
1522,175696.25
1523,110492.164
1524,117669.14
1525,126804.45
1526,108737.74
1527,113922.055
1528,129659.55
1529,154894.98
1530,159540.22
1531,104076.74
1532,89250.33
1533,134944.58
1534,123085.42
1535,149434.38
1536,112615.25
1537,87462.414
1538,168011.67
1539,199989.94
1540,103188.766
1541,146034.38
1542,137084.17
1543,209281.27
1544,77647.48
1545,112719.97
1546,132554.97
1547,140758.06
1548,134776.44
1549,116424.84
1550,144129.84
1551,117649.82
1552,149875.02
1553,173271.2
1554,113803.73
1555,168247.08
1556,79294.586
1557,111180.945
1558,96005.836
1559,96092.62
1560,127725.055
1561,126194.86
1562,125728.36
1563,124062.93
1564,155626.55
1565,145254.22
1566,234975.47
1567,83455.64
1568,225606.52
1569,138083.12
1570,139283.1
1571,119260.62
1572,145916.75
1573,256321.27
1574,119420.875
1575,219314.67
1576,247871.44
1577,200801.95
1578,151206.03
1579,142043.94
1580,190684.27
1581,149984.23
1582,127783.0
1583,328078.0
1584,230647.61
1585,134857.25
1586,70992.61
1587,95478.28
1588,153331.62
1589,102388.69
1590,135776.14
1591,89450.41
1592,105379.1
1593,139621.61
1594,143985.61
1595,119971.91
1596,232389.3
1597,188288.66
1598,195641.3
1599,181623.02
1600,181412.53
1601,68342.75
1602,126256.45
1603,110215.69
1604,286108.25
1605,245741.97
1606,162971.27
1607,182276.56
1608,211946.4
1609,188407.22
1610,151538.55
1611,138031.48
1612,171915.36
1613,167096.22
1614,127325.54
1615,87815.1
1616,68303.65
1617,91627.22
1618,117296.99
1619,144572.55
1620,151556.69
1621,145133.89
1622,135632.62
1623,266219.7
1624,207205.94
1625,117709.02
1626,160104.75
1627,189470.1
1628,299744.44
1629,183232.36
1630,343189.2
1631,228849.67
1632,240747.14
1633,176591.66
1634,187009.45
1635,185417.27
1636,158922.02
1637,186062.03
1638,189270.27
1639,176830.95
1640,267413.25
1641,181905.97
1642,236617.78
1643,220589.86
1644,230560.58
1645,196467.47
1646,161622.77
1647,158262.42
1648,133596.92
1649,133056.12
1650,117562.445
1651,116359.12
1652,95643.91
1653,98119.805
1654,143264.45
1655,142643.05
1656,144691.72
1657,146116.22
1658,148635.19
1659,121072.516
1660,159897.61
1661,434714.5
1662,378602.1
1663,376806.25
1664,392362.84
1665,329742.25
1666,332109.44
1667,394925.66
1668,353739.34
1669,289706.75
1670,360334.7
1671,231927.06
1672,404495.06
1673,296785.34
1674,238673.05
1675,184543.9
1676,179043.62
1677,216609.61
1678,425411.88
1679,407981.03
1680,334845.03
1681,260352.48
1682,311577.5
1683,175440.73
1684,166235.12
1685,169673.14
1686,164843.86
1687,163530.44
1688,188941.75
1689,188695.42
1690,192258.3
1691,179107.6
1692,269701.3
1693,166904.97
1694,182455.48
1695,166396.97
1696,282705.8
1697,173052.22
1698,364474.1
1699,319371.7
1700,250047.66
1701,262054.73
1702,272659.22
1703,264680.94
1704,284188.22
1705,229071.58
1706,386585.47
1707,227430.84
1708,213079.84
1709,285183.38
1710,236169.94
1711,260715.31
1712,254399.55
1713,267540.9
1714,222875.34
1715,213616.12
1716,194034.08
1717,174022.08
1718,137235.86
1719,201272.56
1720,244623.36
1721,163150.55
1722,121857.84
1723,150531.67
1724,217218.06
1725,231973.08
1726,195826.95
1727,159983.56
1728,175791.64
1729,164315.45
1730,164756.97
1731,123850.055
1732,130045.98
1733,117931.18
1734,118374.08
1735,130735.85
1736,113805.875
1737,326490.0
1738,222376.45
1739,277199.53
